NUM,GROUP_NAME,DESC_KOR,SERVING_SIZE,NUTR_CONT1,NUTR_CONT2,NUTR_CONT3,NUTR_CONT4,NUTR_CONT5,NUTR_CONT6,NUTR_CONT7,NUTR_CONT8,NUTR_CONT9
108,무침류,우거지나물무침,150,129,8.7,4.5,8.5,1.5,772.52,1.31,1,0.1
109,무침류,쥐치채,20,55.92,10.9,2.75,0.15,4.55,296.34,8.57,0.19,0.01
110,무침류,청포묵무침,250,149,22.7,2.9,5.2,1.8,724.02,0,0.8,0
111,무침류,탕평채,100,97.5,12.26,3.55,3.81,0.4,260.4,47.24,0.73,0.03
112,무침류,홍어무침,200,198.94,25.95,17.85,2.63,14.46,802.04,57.03,0.36,0
113,밥류,고추장불고기 삼각김밥,100,165.29,34.11,3.66,1.58,0.21,342.92,3.51,0.45,0.01
114,밥류,곤드레나물밥,350,521.83,98.9,10.3,9.5,0,90.62,0,0.9,0
115,밥류,국밥,800,418.35,58.6,27.6,8.2,0.4,2301.55,47.81,2.7,0.2
116,밥류,농어초밥,250,396.74,78.75,17.43,1.34,13.01,1035.04,26.5,0.65,0.02
117,밥류,돼지국밥,1200,911.4,74.7,66.4,38.6,0,1096.58,142.55,8.4,0.2
118,밥류,류산슬덮밥,550,574.99,73.95,26.96,19.04,0.42,1579.35,120.87,3.4,0.12
119,밥류,멍게비빔밥,400,547.21,90.7,16.6,13.1,16.7,1144.8,21.9,2.4,0.1
120,밥류,멸치주먹밥,150,312,54.3,9,6.6,0.9,496.21,42.45,1.1,0
121,밥류,묵밥,950,642.16,128.6,14.8,7.7,15.1,2075.5,42.65,1.5,0
122,밥류,문어초밥,250,392.23,81.78,14.61,0.74,13.38,1200.86,70.08,0.35,0
123,밥류,비빔밥,450,691.62,98.7,24.6,22,18.3,1119.66,95.42,3.9,0.1
124,밥류,삼선볶음밥,400,686.11,85.75,26.24,26.46,1.58,1213.56,326.52,6.33,0.15
125,밥류,새우초밥,250,387.67,78.42,16.8,0.75,11.65,1110.29,72.65,0.55,0.01
126,밥류,새우튀김롤,300,606.5,96.28,14.47,18.17,11.14,1391.43,55.88,3.41,0.12
127,밥류,샐러드김밥,250,405.95,61.45,9.62,13.52,3.42,911.18,84.58,2.79,0.06
128,밥류,생선초밥(광어),300,453.78,77.55,27.07,3.92,7.7,808.75,46.74,1.06,0.02
129,밥류,생선초밥(모듬),300,461.97,76.43,25.42,6.06,8.65,968.94,70.88,1.51,0.04
130,밥류,소고기국밥,700,330.53,42.6,21.8,8.1,2.8,1786.31,41.85,2.3,0.1
131,밥류,소고기김밥,250,400.61,62.52,15.98,9.63,0.84,1061.19,93.09,2.53,0.11
132,밥류,송이덮밥,600,581.81,95.6,18.21,14.06,2.27,1678.01,48.2,2.79,0.1
133,밥류,숯불갈비 삼각김밥,100,161.24,32.55,4,1.67,0.17,358.36,4.04,0.53,0.02
134,밥류,약초비빔밥,400,511.8,80.2,11.9,15.9,2.9,971.61,0,2.4,0.1
135,밥류,연어롤,300,510.19,74.32,18.57,15.4,8.47,1211.9,61.97,2.83,0.1
136,밥류,연어초밥,250,447.32,71.04,18.88,9.74,12.88,1064.39,32.05,1.84,0.06
137,밥류,오곡밥,250,388.82,82.32,11.95,1.3,0.17,113.9,0,0.42,0
138,밥류,자장밥,500,741.66,120.06,15.24,22.28,5.37,1560.38,26.44,8.56,0.17
139,밥류,잡탕밥,750,777.44,104.94,44.12,20.14,0.48,2109.52,329.85,4.07,0.12
140,밥류,장어덮밥,400,716.54,97.35,30.09,22.98,5.59,920.77,234.56,5.18,0.23
141,밥류,장어초밥,250,486.26,80.68,16.52,10.83,13.67,1270.91,102.77,2.91,0.1
142,밥류,참치덮밥,500,679.1,102.93,29.2,16.73,2.98,1618.75,115.79,3.41,0.09
143,밥류,참치마요네즈 삼각김밥,100,172.4,31.95,3.94,3.2,0.02,282.1,4.41,0.6,0.01
144,밥류,충무김밥,400,583.93,109.16,23.43,5.96,17.19,1294.27,156.85,1.1,0.03
145,밥류,캘리포니아롤,300,487.64,89.23,12.33,9.05,8.9,1295.88,65.96,2.14,0.05
146,밥류,한치초밥,250,374.18,77.92,13.71,0.85,13.13,1199.31,100.06,0.45,0
147,밥류,해물덮밥,700,771.93,100.45,42.04,22.44,1.19,1802.68,286.24,5.41,0.21
148,밥류,해물볶음밥,400,705.22,90.46,25.11,27,1.22,1074.35,241.8,5.38,0.15
149,밥류,회덮밥,500,683.02,103.3,30.21,16.55,10.93,744.27,88.65,2.9,0.11
150,볶음류,깻잎나물볶음,200,206,11.5,7.5,14.4,0.6,1042.68,0,1.7,0.1
151,볶음류,돼지고기볶음,200,350.67,18.21,22.96,20.67,8.2,1051.76,57.87,5.12,0.15
152,볶음류,돼지껍데기볶음,150,352,24.5,25.8,16.7,5.5,779.81,47.75,4.9,0.1
153,볶음류,두부김치,250,288.21,14.08,19.47,17.12,1.49,989.69,13.92,3.17,0.08
154,볶음류,머위나물볶음,150,108,7.6,3.5,7,1.8,718.63,0,0.8,0
155,볶음류,멸치풋고추볶음,20,52.38,3.41,4.65,2.24,1.43,275.54,36.6,0.39,0.02
156,볶음류,소세지볶음,200,471,31.8,18.8,29.9,8.9,1436.06,60.26,8.8,0.2
157,볶음류,순대볶음,400,582,76.7,20.7,21.3,5.4,1500.35,141.72,5.1,0.1
158,볶음류,양송이버섯볶음,150,136,11,4.5,8.3,1.2,515.17,0,1.4,0
159,볶음류,오삼불고기,200,363,20.5,25.6,19.9,7.6,885.09,184.46,5.2,0.1
160,볶음류,주꾸미볶음,200,211.41,22.83,18.33,5.2,5.06,918.86,200.76,0.61,0.02
161,볶음류,표고버섯볶음,150,142,15.8,4.5,6.7,2.6,574.8,0,0.8,0
162,볶음류,해물볶음,400,419.06,32.2,38.2,15.3,7.4,1755.16,329.59,2.1,0.1
163,빵류,곰보빵,70,277.34,42.16,6.31,9.27,11.73,202.25,23.59,4.63,0.21
164,빵류,만주,70,222.49,46.8,5.13,1.64,22.45,118.19,15.67,0.91,0.04
165,빵류,버터크림빵,60,229.96,27.74,4.91,11.04,7.19,191.18,17.81,8.44,0.28
166,빵류,불고기피자,200,505,61.2,27.4,16.7,9.2,916.87,45.7,9.3,0.4
167,빵류,참치샌드위치,250,555,36.5,23.3,35.1,10.1,915.59,57.86,7.1,0.3
168,빵류,찹쌀도우넛,70,207.05,39.95,3.53,3.68,12.13,242.99,1.16,1.95,0.04
169,빵류,채소고로케,100,300.65,31.19,7.13,16.38,3.37,403.33,41.9,3.59,0.15
170,빵류,초콜릿케이크,100,420.24,43.6,5.32,24.96,23.13,170,50.84,14.4,0.38
171,빵류,치즈케이크,100,329.15,28.64,7.23,20.63,15.28,200.67,126.78,10.99,0.61
172,빵류,치즈피자,200,553,71.2,31.4,15.8,6.8,949.96,48.04,11.5,0.4
173,빵류,페이스트리빵,70,319.59,32.52,5.99,18.4,5.75,295.79,16.95,12.07,0.59
174,빵류,페퍼로니피자,200,532,70.3,29.4,14.8,7.5,945.22,41.73,10.9,0.4
175,빵류,포테이토피자,250,628,71.6,28,25.5,8.5,999.93,48.95,10.3,0.3
176,음료류,수정과,150,133,20.34,0.6,5.47,20.69,9.72,0,0.06,0.08
177,음료류,식혜,150,130.14,24.32,2.3,2.63,17.04,3.38,0,0.07,0
178,장아찌류,간장마늘쫑장아찌,50,30,5.4,1,0.5,3.9,813.64,0,0,0
179,장아찌류,고추장마늘쫑장아찌,50,55,10.5,1.3,0.9,5.6,707.34,0,0.1,0
180,장아찌류,매실장아찌,30,72.88,17.43,0.5,0.13,11.45,337.86,0,0.02,0
181,장아찌류,무장아찌,30,23.92,5.03,0.44,0.23,2.89,879.81,0.04,0.01,0
182,적류,계적,250,488.08,0,57.72,30.43,0,210.11,169.21,8.09,0.24
183,적류,낙지꼬지,80,75.35,2.83,13.14,1.28,0,207.07,133.75,0.14,0.01
184,적류,돔베기적,100,159.49,0,30.08,7.42,0,451.25,64.23,0.6,0.03
185,적류,소고기산적,200,453.08,7.33,48.41,25.57,0,1392.84,134.83,7.06,0.87
186,적류,소라산적,80,120.1,6.45,17.92,2.51,0.85,396.68,100.34,0.38,0.02
187,적류,오징어산적,80,101.71,3.6,17.38,1.98,0.92,477.11,234.25,0.28,0
188,적류,홍어적,100,89.15,0,23.59,0.66,0.28,323.53,96.77,0.12,0
189,적류,홍합산적,80,156.67,10.58,17.78,4.8,3.34,719.72,60.72,0.83,0.04
190,전류,가자미전,150,230.28,6.92,25.76,11.07,0.31,819.37,176.27,2.24,0.06
191,전류,고추전,150,274.69,17.01,12.91,17.22,2.17,362.21,78.81,3.52,0.09
192,전류,굴전,100,195,14.5,10.6,10.5,1.3,325.7,96.88,2.1,0.1
193,전류,깻잎전,150,361.1,14.54,17.74,25.78,1.06,480.15,131.8,5.43,0.15
194,전류,녹두빈대떡,100,207.94,20.93,7.95,10.27,0.1,232.05,12.48,2.26,0.06
195,전류,동그랑땡(육원전),150,309.2,12.68,19.62,20,0.98,553.09,103.27,4.66,0.12
196,전류,동태전,150,268.05,10.54,22.64,15.04,0.22,702.16,178.76,3.17,0.09
197,전류,두부전,150,254.64,7.5,20.46,15.87,0.03,317.15,3.28,2.01,0.04
198,전류,미나리전,150,226.41,34.23,5.24,7.62,1.74,248.7,11.89,1.23,0.05
199,전류,배추전,150,240.75,35.52,5.17,8.67,5.02,326.83,7.24,1.37,0.08
200,전류,버섯전,150,240.69,16.19,10.52,14.87,2.74,313.76,100.1,2.29,0.06
201,전류,야채전,100,194,21.6,5.4,9.5,2.4,321.52,43.15,2.1,0.1
202,전류,파전,150,292.8,34.81,6.83,14.03,0.79,345.96,46.14,2.26,0.07
203,전류,햄부침,100,244,11.3,11.3,17.1,1,715.66,72.11,4.4,0.1
204,전류,호박부침개,100,129,10.1,3.9,8.1,3.6,174.33,52.48,1.7,0.1
205,전류,호박전,150,208.1,16.1,6.48,13.09,2.85,276.95,92.53,2.34,0.06
206,전류,화양적,150,272.65,21.35,13.58,14.77,1.21,797.03,123.25,3.83,0.1
207,조림류,가자미조림,300,297.98,21.5,37.1,7.1,10.5,1692.83,227.98,1.3,0.1
208,조림류,고추조림,100,111,13.4,3.3,4.9,7.1,779.1,7.09,0.7,0
209,조림류,동태조림,250,276,17.4,40.8,4.7,10.2,1391.69,218.45,1.1,0.2
210,조림류,돼지고기메추리알장조림,50,63.49,3.37,8.34,1.85,1.27,582.99,47.64,0.44,0.01
211,조림류,북어조림,100,181.86,17.14,20.83,3.33,8.2,765.95,99.63,0.67,0.05
212,조림류,소고기메추리알장조림,50,60.65,2.88,8.14,1.84,0.72,602.12,41.52,0.45,0.02
213,조림류,조기조림,300,384,12.8,41.1,18.8,4.5,1771.22,228.18,5,0.1
214,죽류,게살죽,800,564.83,107.35,17.9,7.1,0.17,1453.82,50.16,2.11,0.07
215,죽류,깨죽,800,515.35,79.31,13.66,15.94,3.59,1160.19,0,2.83,0.01
216,죽류,백합죽,700,455.28,84.7,16.5,5.6,0,996.8,32.1,1.3,0
217,죽류,소고기버섯죽,800,578.28,109.03,18.75,7.47,0.26,1261.8,26.08,2.72,0.14
218,죽류,어죽,800,552.06,100.8,20.4,7.5,9.8,2105.53,35.47,1.7,0
219,죽류,잣죽,700,874.48,155.28,19.18,19.63,2.36,878.81,0,1.99,0.24
220,죽류,참치죽,800,659.6,104.57,24.19,16.06,1.36,1342.4,39.96,1.81,0.06
221,찌개류,고등어찌개,600,601.62,25.6,48.9,33.7,7.4,2584.06,156.06,7.1,0.3
222,찌개류,김치찌개,400,243.03,11.93,15.07,15.01,3.03,1962.14,25.18,2.76,0.03
223,찌개류,꽁치찌개,300,355,12.2,24,23.3,5.9,1296.4,63.32,4.9,2.9
224,찌개류,두부전골,500,315.16,17.1,25.6,16.1,3.5,1650.77,8.85,2.4,0
225,찌개류,버섯찌개,400,167.56,15.4,14.7,5.2,4.4,1293.87,16.55,1.3,0.1
226,찌개류,부대찌개,600,399.5,39.7,18.4,18.6,6.2,2321.9,52.54,5.4,0.1
227,찌개류,새우젓두부찌개,300,166,7.2,16.2,8.1,1.7,1123.08,10.71,1.6,0
228,찌개류,소곱창전골,600,529,29.2,41.6,27.3,2.3,1779.63,453.19,8.3,0.5
229,찌개류,햄김치찌개,300,189,12.7,11.1,10.4,3.6,1583.05,29.12,3.7,0.1
230,찌개류,호박찌개,300,95,12.2,5.6,2.6,5.8,1024.11,9.26,0.4,0
231,찜류,대구찜,500,376.42,24.7,51.7,7.9,5.7,1898.67,263.32,1.1,0
232,찜류,도미찜,100,125.51,0.54,23,3.49,0,839.96,99.01,0.91,0.02
233,찜류,동태찜,500,394.32,25.8,50.9,9.7,5.7,1985.6,284.22,1.6,0.1
234,찜류,돼지등갈비찜,450,961.04,57.4,72.1,49.2,24.1,2395.17,199.57,16.1,0.3
235,찜류,돼지머리고기,200,650,3.5,42.4,52,0.1,333.64,171.1,15.2,0.4
236,찜류,매운갈비찜,300,517.44,23.7,61.3,19.7,10.7,1138.51,163.29,8,0.5
237,찜류,문어숙회,80,66.91,0.73,14.86,0.51,0,208.33,140.11,0.12,0
238,찜류,민어찜,100,136.88,0,21.47,5.91,0,1089.44,97.77,1.67,0.04
239,찜류,병어찜,100,179.69,0.16,18.86,11.52,0,650.98,71.92,3.59,0.06
240,찜류,북어찜,150,235,18,28.1,5.7,6.4,900.98,153.1,0.9,0.1
241,찜류,붕어찜,1100,835.6,71.6,54.3,36.9,16.2,3952.03,186.23,5.8,0.3
242,찜류,소갈비찜,250,494.6,13.14,49.86,26.96,4.32,753.64,141.48,10.34,1.07
243,찜류,순대,300,542.42,58.36,19.56,25.64,3.5,1019.19,19.22,7.3,0.12
244,찜류,아구찜,400,310.87,17.47,48.3,5.31,0.69,1406.2,389.13,0.86,0.03
245,찜류,아구찜,750,492.32,43.1,65.4,6.5,8.2,3425.72,420.21,1.1,0
246,찜류,안동찜닭,1500,1364.21,139.5,114.2,38.8,66.8,5462.32,450.42,10.3,0.2
247,찜류,전어찜,100,278.22,0.6,17.28,22.97,0,447.4,97.88,6.8,0.13
248,찜류,조기찜,100,182.12,1.64,20.06,10.59,0,602.03,138.43,2.85,0.08
249,찜류,참꼬막,80,90.79,4.59,12.47,2.5,0,234.16,65.03,0.38,0.02
250,찜류,한방오리백숙,300,469.53,3.36,68.79,20.1,0.35,276.43,372.07,6.39,0.14
251,찜류,해물찜,500,400.08,35.4,42.6,9.8,5.5,2137.21,419.16,1.5,0
252,찜류,홍어찜,250,202.67,1.22,47.12,1.03,1.22,644.96,235.12,0.35,0.01
253,탕류,갈낙탕,400,261.77,0.8,35.8,12.8,1.3,847.97,209.08,5.8,0.4
254,탕류,곰탕,300,183.25,18.1,19.4,3.7,0.5,716.36,50.41,1.5,0.1
255,탕류,광어매운탕,600,419.79,9.13,58.42,16.62,1.42,1799.02,375.05,3.05,0.08
256,탕류,낙지탕,600,187.8,10.4,29.4,3.2,1.9,1704.69,292.42,0.4,0
257,탕류,대구매운탕,600,361.75,16.84,57.36,7.21,1.09,1983.9,516.75,0.97,0.03
258,탕류,대구지리탕,600,262.02,9.9,41.6,6.2,1.5,1476.25,283.08,1.1,0.1
259,탕류,메기매운탕,600,400,48.6,28.6,10.2,5.7,1859.96,137.36,2.9,0.2
260,탕류,복지리탕,600,232.05,10.3,41.7,2.7,1.4,1349.98,209.78,0.4,0
261,탕류,소탕,150,86.37,1.9,7.66,5.35,0.03,353.59,0,0.58,0.01
262,탕류,아구탕,600,246.07,12.8,37.8,4.9,1.8,1863.34,318.93,0.8,0
263,탕류,어탕,150,85.87,1.82,12.7,3.09,0,485.08,52.57,0.44,0.01
264,탕류,연포탕,1000,541.64,20.19,94.9,9.03,0.23,2337.46,1057.46,1.75,0.08
265,탕류,우럭매운탕,600,406.82,11.24,52.15,17.03,1.08,1773.88,362.77,2.97,0.08
266,탕류,육탕,150,87.63,0.35,12.66,3.95,0,356.94,43.79,1.71,0.18
267,탕류,전복탕,600,196.85,15.8,26.8,3,1.3,1774.4,291.38,0.6,0
268,탕류,조기매운탕,600,384.38,17.3,35.1,19.4,4.3,2272.92,274.17,4.8,0.1
269,탕류,짱뚱어탕,600,188.77,16.6,11.5,8.5,2.4,2050.9,22.22,0.9,0
270,탕류,추어탕,1000,316.72,26.8,22.7,13.2,0,2635.78,90.31,1.9,0
271,탕류,해물탕,600,267.81,16.6,39.8,4.7,0.8,2046.24,469.49,0.8,0
272,튀김류,고구마맛탕,200,491,94.6,3.3,11,38.7,76.93,0,1.9,0
273,튀김류,고구마튀김,100,252.96,33.8,2.72,11.87,7.72,148.41,20.84,1.74,0.05
274,튀김류,고추튀김,100,202,14.6,7.6,12.6,2.3,249.15,35.91,2.7,0.1
275,튀김류,닭튀김,300,903,48.8,65.2,49.7,1.5,1244.48,177.93,13,0.4
276,튀김류,등심돈가스,200,623.83,38.49,32.99,37.55,3.66,574.08,98.16,9.12,0.26
277,튀김류,모래집튀김,150,468.37,29.1,28.1,26.6,1.8,322.44,251.91,4.1,0.2
